id;nom_pres;nom_cont;prenom_cont;email
1;Rica Netherlands Account;West Plastic Frozen;evolve;Cordie_Nader@gmail.com
2;Future Incredible;Tasty needs-based;deposit encryption;Matilda.Brakus@gmail.com
3;Granite Bike Future;iterate cross-platform engine;metrics Synchronised;Isac_Blick78@hotmail.com
4;Group Checking copying;program Lead;online Cambridgeshire Program;Wilhelm.Walker22@hotmail.com
5;services contextually-based indexing;Niger;compressing;Gianni51@gmail.com
6;Tasty;International;bypass navigate Wooden;Lamar69@hotmail.com
7;Specialist evolve;Account Infrastructure interactive;5th incentivize;Marcus_Rippin12@gmail.com
8;Markets exploit compressing;circuit;open-source;Nikko.Brakus11@gmail.com
9;Uganda Bedfordshire;embrace override;stable Mouse Compatible;Francisco_Lakin@yahoo.com
10;syndicate;Jewelery neural;Planner;Odie.Walter42@gmail.com
